Model_ID,Model_Name,Model_Type,Model_Version,Date,Daily_Volume,Performance_Metrics,Company_Name
50,Model 1,Multi-Class,2,4/23/2022,2535,"[0.76, 0.79, 0.79]",Nationwide
51,Model 1,Multi-Class,3,4/23/2022,3912,"[0.95, 0.77, 0.7]",Nationwide
52,Model 1,Multi-Class,1,4/24/2022,1541,"[0.94, 0.81, 0.88]",Nationwide
53,Model 1,Multi-Class,2,4/24/2022,1982,"[0.78, 0.88, 0.71]",Nationwide
54,Model 1,Multi-Class,3,4/24/2022,3574,"[0.75, 0.79, 0.79]",Nationwide
55,Model 1,Multi-Class,1,4/25/2022,2787,"[0.72, 0.81, 0.77]",Nationwide
56,Model 1,Multi-Class,2,4/25/2022,1161,"[0.88, 0.89, 0.72]",Nationwide
57,Model 1,Multi-Class,3,4/25/2022,4734,"[0.71, 0.9, 0.86]",Nationwide
58,Model 1,Multi-Class,1,4/26/2022,1132,"[0.72, 0.82, 0.87]",Nationwide
59,Model 1,Multi-Class,2,4/26/2022,3713,"[0.74, 0.81, 0.8]",Nationwide
60,Model 1,Multi-Class,3,4/26/2022,1919,"[0.79, 0.74, 0.78]",Nationwide
61,Model 1,Multi-Class,1,4/27/2022,3730,"[0.77, 0.92, 0.72]",Nationwide
62,Model 1,Multi-Class,2,4/27/2022,3026,"[0.73, 0.89, 0.83]",Nationwide
63,Model 1,Multi-Class,3,4/27/2022,3219,"[0.77, 0.73, 0.94]",Nationwide
64,Model 1,Multi-Class,1,4/28/2022,1979,"[0.87, 0.72, 0.89]",Nationwide
65,Model 1,Multi-Class,2,4/28/2022,2522,"[0.76, 0.92, 0.76]",Nationwide
66,Model 1,Multi-Class,3,4/28/2022,4843,"[0.71, 0.86, 0.89]",Nationwide
67,Model 1,Multi-Class,1,4/29/2022,4902,"[0.79, 0.94, 0.92]",Nationwide
68,Model 1,Multi-Class,2,4/29/2022,3081,"[0.91, 0.85, 0.89]",Nationwide
69,Model 1,Multi-Class,3,4/29/2022,1923,"[0.87, 0.88, 0.92]",Nationwide
70,Model 1,Multi-Class,1,4/30/2022,1247,"[0.87, 0.73, 0.9]",Nationwide
71,Model 1,Multi-Class,2,4/30/2022,3363,"[0.77, 0.9, 0.76]",Nationwide
72,Model 1,Multi-Class,3,4/30/2022,2710,"[0.87, 0.94, 0.94]",Nationwide
73,Model 1,Multi-Class,1,5/1/2022,2462,"[0.88, 0.94, 0.82]",Nationwide
74,Model 1,Multi-Class,2,5/1/2022,3962,"[0.91, 0.8, 0.84]",Nationwide
75,Model 1,Multi-Class,3,5/1/2022,4742,"[0.74, 0.86, 0.79]",Nationwide
76,Model 1,Multi-Class,1,5/2/2022,3928,"[0.84, 0.72, 0.74]",Nationwide
77,Model 1,Multi-Class,2,5/2/2022,1690,"[0.75, 0.76, 0.74]",Nationwide
78,Model 1,Multi-Class,3,5/2/2022,1812,"[0.71, 0.8, 0.74]",Nationwide
79,Model 1,Multi-Class,1,5/3/2022,2426,"[0.71, 0.76, 0.82]",Nationwide
80,Model 1,Multi-Class,2,5/3/2022,4293,"[0.81, 0.75, 0.75]",Nationwide
81,Model 1,Multi-Class,3,5/3/2022,4817,"[0.93, 0.74, 0.77]",Nationwide
82,Model 1,Multi-Class,1,5/4/2022,3453,"[0.74, 0.76, 0.8]",Nationwide
83,Model 1,Multi-Class,2,5/4/2022,2094,"[0.89, 0.81, 0.77]",Nationwide
84,Model 1,Multi-Class,3,5/4/2022,1659,"[0.74, 0.71, 0.81]",Nationwide
85,Model 1,Multi-Class,1,5/5/2022,1347,"[0.84, 0.71, 0.81]",Nationwide
86,Model 1,Multi-Class,2,5/5/2022,1492,"[0.78, 0.77, 0.87]",Nationwide
87,Model 1,Multi-Class,3,5/5/2022,4366,"[0.92, 0.72, 0.77]",Nationwide
88,Model 1,Multi-Class,1,5/6/2022,1383,"[0.81, 0.84, 0.71]",Nationwide
89,Model 1,Multi-Class,2,5/6/2022,4934,"[0.76, 0.89, 0.73]",Nationwide
90,Model 1,Multi-Class,3,5/6/2022,4376,"[0.86, 0.73, 0.78]",Nationwide
91,Model 1,Multi-Class,1,5/7/2022,3326,"[0.94, 0.87, 0.76]",Nationwide
92,Model 1,Multi-Class,2,5/7/2022,2649,"[0.86, 0.74, 0.86]",Nationwide
93,Model 1,Multi-Class,3,5/7/2022,3874,"[0.84, 0.92, 0.81]",Nationwide
94,Model 1,Multi-Class,1,5/8/2022,2873,"[0.77, 0.87, 0.82]",Nationwide
95,Model 1,Multi-Class,2,5/8/2022,4347,"[0.73, 0.87, 0.76]",Nationwide
96,Model 1,Multi-Class,3,5/8/2022,3043,"[0.94, 0.89, 0.8]",Nationwide
97,Model 1,Multi-Class,1,5/9/2022,3646,"[0.93, 0.88, 0.72]",Nationwide
98,Model 1,Multi-Class,2,5/9/2022,3657,"[0.78, 0.9, 0.9]",Nationwide
99,Model 1,Multi-Class,3,5/9/2022,3544,"[0.91, 0.9, 0.78]",Nationwide
100,Model 1,Multi-Class,1,5/10/2022,1662,"[0.76, 0.79, 0.77]",Nationwide
101,Model 1,Multi-Class,2,5/10/2022,4968,"[0.92, 0.73, 0.91]",Nationwide
102,Model 1,Multi-Class,3,5/10/2022,4526,"[0.9, 0.77, 0.92]",Nationwide
103,Model 1,Multi-Class,1,5/11/2022,4234,"[0.84, 0.89, 0.88]",Nationwide
104,Model 1,Multi-Class,2,5/11/2022,4252,"[0.9, 0.82, 0.94]",Nationwide
105,Model 1,Multi-Class,3,5/11/2022,1588,"[0.72, 0.89, 0.71]",Nationwide
106,Model 1,Multi-Class,1,5/12/2022,3082,"[0.75, 0.79, 0.95]",Nationwide
107,Model 1,Multi-Class,2,5/12/2022,2717,"[0.74, 0.72, 0.77]",Nationwide
108,Model 1,Multi-Class,3,5/12/2022,1628,"[0.88, 0.71, 0.73]",Nationwide
109,Model 1,Multi-Class,1,5/13/2022,1985,"[0.95, 0.83, 0.8]",Nationwide
110,Model 1,Multi-Class,2,5/13/2022,2605,"[0.9, 0.88, 0.79]",Nationwide
111,Model 1,Multi-Class,3,5/13/2022,2083,"[0.73, 0.73, 0.72]",Nationwide
112,Model 1,Multi-Class,1,5/14/2022,3991,"[0.93, 0.8, 0.92]",Nationwide
113,Model 1,Multi-Class,2,5/14/2022,4815,"[0.95, 0.78, 0.73]",Nationwide
114,Model 1,Multi-Class,3,5/14/2022,3318,"[0.86, 0.77, 0.78]",Nationwide
115,Model 1,Multi-Class,1,5/15/2022,1498,"[0.79, 0.89, 0.88]",Nationwide
116,Model 1,Multi-Class,2,5/15/2022,1002,"[0.8, 0.85, 0.8]",Nationwide
117,Model 1,Multi-Class,3,5/15/2022,3825,"[0.84, 0.9, 0.82]",Nationwide
118,Model 1,Multi-Class,1,5/16/2022,2441,"[0.88, 0.7, 0.95]",Nationwide
119,Model 1,Multi-Class,2,5/16/2022,4542,"[0.83, 0.82, 0.87]",Nationwide
120,Model 1,Multi-Class,3,5/16/2022,2032,"[0.9, 0.86, 0.78]",Nationwide
121,Model 1,Multi-Class,1,5/17/2022,4400,"[0.84, 0.72, 0.78]",Nationwide
122,Model 1,Multi-Class,2,5/17/2022,1908,"[0.82, 0.87, 0.74]",Nationwide
123,Model 1,Multi-Class,3,5/17/2022,4607,"[0.72, 0.75, 0.82]",Nationwide
124,Model 1,Multi-Class,1,5/18/2022,1390,"[0.83, 0.73, 0.74]",Nationwide
125,Model 1,Multi-Class,2,5/18/2022,3676,"[0.83, 0.89, 0.81]",Nationwide
126,Model 1,Multi-Class,3,5/18/2022,2842,"[0.79, 0.94, 0.7]",Nationwide
127,Model 1,Multi-Class,1,5/19/2022,2284,"[0.8, 0.84, 0.94]",Nationwide
128,Model 1,Multi-Class,2,5/19/2022,1092,"[0.89, 0.89, 0.7]",Nationwide
129,Model 1,Multi-Class,3,5/19/2022,3238,"[0.79, 0.82, 0.76]",Nationwide
130,Model 1,Multi-Class,1,5/20/2022,2669,"[0.78, 0.9, 0.88]",Nationwide
131,Model 1,Multi-Class,2,5/20/2022,2707,"[0.76, 0.94, 0.88]",Nationwide
132,Model 1,Multi-Class,3,5/20/2022,1561,"[0.9, 0.9, 0.88]",Nationwide
133,Model 1,Multi-Class,1,5/21/2022,3474,"[0.71, 0.7, 0.85]",Nationwide
134,Model 1,Multi-Class,2,5/21/2022,2174,"[0.81, 0.94, 0.87]",Nationwide
135,Model 1,Multi-Class,3,5/21/2022,4842,"[0.84, 0.95, 0.87]",Nationwide
136,Model 1,Multi-Class,1,5/22/2022,2867,"[0.72, 0.77, 0.71]",Nationwide
137,Model 1,Multi-Class,2,5/22/2022,4249,"[0.79, 0.79, 0.88]",Nationwide
138,Model 1,Multi-Class,3,5/22/2022,2559,"[0.88, 0.76, 0.76]",Nationwide
139,Model 1,Multi-Class,1,5/23/2022,2787,"[0.95, 0.81, 0.77]",Nationwide
140,Model 1,Multi-Class,2,5/23/2022,1448,"[0.93, 0.8, 0.87]",Nationwide
141,Model 1,Multi-Class,3,5/23/2022,3753,"[0.8, 0.94, 0.84]",Nationwide
142,Model 1,Multi-Class,1,5/24/2022,4111,"[0.85, 0.91, 0.74]",Nationwide
143,Model 1,Multi-Class,2,5/24/2022,3546,"[0.8, 0.76, 0.82]",Nationwide
144,Model 1,Multi-Class,3,5/24/2022,4184,"[0.77, 0.76, 0.8]",Nationwide
145,Model 1,Multi-Class,1,5/25/2022,4652,"[0.79, 0.77, 0.79]",Nationwide
146,Model 1,Multi-Class,2,5/25/2022,3908,"[0.86, 0.85, 0.9]",Nationwide
147,Model 1,Multi-Class,3,5/25/2022,3816,"[0.89, 0.78, 0.94]",Nationwide
148,Model 1,Multi-Class,1,5/26/2022,3882,"[0.9, 0.87, 0.87]",Nationwide
149,Model 1,Multi-Class,2,5/26/2022,1903,"[0.77, 0.87, 0.7]",Nationwide
150,Model 1,Multi-Class,3,5/26/2022,3823,"[0.83, 0.78, 0.9]",Nationwide
151,Model 1,Multi-Class,1,5/27/2022,1490,"[0.79, 0.85, 0.76]",Nationwide
152,Model 1,Multi-Class,2,5/27/2022,1696,"[0.73, 0.93, 0.81]",Nationwide
153,Model 1,Multi-Class,3,5/27/2022,3445,"[0.77, 0.87, 0.85]",Nationwide
154,Model 1,Multi-Class,1,5/28/2022,2088,"[0.87, 0.78, 0.8]",Nationwide
155,Model 1,Multi-Class,2,5/28/2022,2257,"[0.75, 0.75, 0.71]",Nationwide
156,Model 1,Multi-Class,3,5/28/2022,3098,"[0.71, 0.92, 0.75]",Nationwide
157,Model 1,Multi-Class,1,5/29/2022,3884,"[0.72, 0.79, 0.73]",Nationwide
158,Model 1,Multi-Class,2,5/29/2022,1328,"[0.77, 0.73, 0.93]",Nationwide
159,Model 1,Multi-Class,3,5/29/2022,2424,"[0.79, 0.77, 0.76]",Nationwide
160,Model 2,Classification,1,1/15/2021,2674,"[0.83, 0.81, 0.91]",State Farm
161,Model 2,Classification,1,1/16/2021,2484,"[0.93, 0.89, 0.88]",State Farm
162,Model 2,Classification,1,1/17/2021,4369,"[0.8, 0.83, 0.79]",State Farm
163,Model 2,Classification,1,1/18/2021,4874,"[0.82, 0.86, 0.8]",State Farm
164,Model 2,Classification,1,1/19/2021,1071,"[0.75, 0.9, 0.79]",State Farm
165,Model 2,Classification,1,1/20/2021,4430,"[0.92, 0.72, 0.76]",State Farm
166,Model 2,Classification,1,1/21/2021,2413,"[0.84, 0.7, 0.75]",State Farm
167,Model 2,Classification,1,1/22/2021,3453,"[0.82, 0.81, 0.76]",State Farm
168,Model 2,Classification,1,1/23/2021,2967,"[0.71, 0.88, 0.76]",State Farm
169,Model 2,Classification,1,1/24/2021,3013,"[0.88, 0.85, 0.82]",State Farm
170,Model 2,Classification,1,1/25/2021,2898,"[0.79, 0.77, 0.78]",State Farm
171,Model 2,Classification,1,1/26/2021,1504,"[0.89, 0.85, 0.83]",State Farm
172,Model 2,Classification,1,1/27/2021,2712,"[0.75, 0.78, 0.81]",State Farm
173,Model 2,Classification,1,1/28/2021,1678,"[0.94, 0.93, 0.88]",State Farm
174,Model 2,Classification,1,1/29/2021,3838,"[0.74, 0.9, 0.75]",State Farm
175,Model 2,Classification,1,1/30/2021,4404,"[0.73, 0.88, 0.84]",State Farm
176,Model 2,Classification,1,1/31/2021,3767,"[0.76, 0.82, 0.78]",State Farm
177,Model 2,Classification,1,2/1/2021,2808,"[0.92, 0.77, 0.94]",State Farm
178,Model 2,Classification,1,2/2/2021,4891,"[0.76, 0.94, 0.76]",State Farm
179,Model 2,Classification,1,2/3/2021,4928,"[0.77, 0.79, 0.89]",State Farm
180,Model 2,Classification,1,2/4/2021,4057,"[0.88, 0.84, 0.93]",State Farm
181,Model 2,Classification,1,2/5/2021,2064,"[0.76, 0.92, 0.83]",State Farm
182,Model 2,Classification,1,2/6/2021,3389,"[0.8, 0.93, 0.71]",State Farm
183,Model 2,Classification,1,2/7/2021,1000,"[0.78, 0.9, 0.86]",State Farm
184,Model 2,Classification,1,2/8/2021,1295,"[0.72, 0.76, 0.88]",State Farm
185,Model 2,Classification,1,2/9/2021,4120,"[0.84, 0.93, 0.78]",State Farm
186,Model 2,Classification,1,2/10/2021,1744,"[0.92, 0.74, 0.93]",State Farm
187,Model 2,Classification,1,2/11/2021,4408,"[0.86, 0.8, 0.85]",State Farm
188,Model 2,Classification,1,2/12/2021,1472,"[0.8, 0.79, 0.84]",State Farm
189,Model 2,Classification,1,2/13/2021,4213,"[0.94, 0.9, 0.7]",State Farm
190,Model 2,Classification,1,2/14/2021,2856,"[0.76, 0.86, 0.75]",State Farm
191,Model 2,Classification,1,2/15/2021,1307,"[0.94, 0.81, 0.72]",State Farm
192,Model 2,Classification,1,2/16/2021,2984,"[0.73, 0.92, 0.71]",State Farm
193,Model 2,Classification,1,2/17/2021,3972,"[0.72, 0.78, 0.91]",State Farm
194,Model 2,Classification,1,2/18/2021,2254,"[0.79, 0.91, 0.86]",State Farm
195,Model 2,Classification,1,2/19/2021,1545,"[0.78, 0.87, 0.81]",State Farm
196,Model 2,Classification,1,2/20/2021,1396,"[0.89, 0.81, 0.9]",State Farm
197,Model 2,Classification,1,2/21/2021,2138,"[0.89, 0.89, 0.85]",State Farm
198,Model 2,Classification,1,2/22/2021,4974,"[0.91, 0.74, 0.89]",State Farm
199,Model 2,Classification,1,2/23/2021,4797,"[0.79, 0.74, 0.93]",State Farm
200,Model 2,Classification,1,2/24/2021,1365,"[0.77, 0.9, 0.88]",State Farm
201,Model 2,Classification,1,2/25/2021,4506,"[0.86, 0.79, 0.83]",State Farm
202,Model 2,Classification,1,2/26/2021,4593,"[0.91, 0.88, 0.89]",State Farm
203,Model 2,Classification,1,2/27/2021,4059,"[0.91, 0.72, 0.77]",State Farm
204,Model 2,Classification,1,2/28/2021,3274,"[0.75, 0.91, 0.94]",State Farm
205,Model 2,Classification,1,3/1/2021,1038,"[0.78, 0.76, 0.94]",State Farm
206,Model 2,Classification,1,3/2/2021,1988,"[0.86, 0.82, 0.73]",State Farm
207,Model 2,Classification,1,3/3/2021,1262,"[0.86, 0.75, 0.85]",State Farm
208,Model 2,Classification,1,3/4/2021,4627,"[0.93, 0.79, 0.72]",State Farm
209,Model 2,Classification,1,3/5/2021,4216,"[0.7, 0.77, 0.7]",State Farm
210,Model 2,Classification,1,3/6/2021,2538,"[0.88, 0.89, 0.72]",State Farm
211,Model 2,Classification,1,3/7/2021,3120,"[0.77, 0.85, 0.78]",State Farm
212,Model 2,Classification,1,3/8/2021,1175,"[0.88, 0.77, 0.78]",State Farm
213,Model 2,Classification,1,3/9/2021,3915,"[0.9, 0.75, 0.74]",State Farm
214,Model 2,Classification,1,3/10/2021,4275,"[0.87, 0.92, 0.83]",State Farm
215,Model 2,Classification,1,3/11/2021,2807,"[0.78, 0.79, 0.9]",State Farm
216,Model 3,Multi-Class,3,10/11/2022,4290,"[0.77, 0.75, 0.79]",Liberty Mutual
217,Model 3,Multi-Class,3,10/12/2022,1291,"[0.82, 0.84, 0.82]",Liberty Mutual
218,Model 3,Multi-Class,3,10/13/2022,4206,"[0.85, 0.86, 0.74]",Liberty Mutual
219,Model 3,Multi-Class,3,10/14/2022,4945,"[0.78, 0.93, 0.76]",Liberty Mutual
220,Model 3,Multi-Class,3,10/15/2022,2066,"[0.84, 0.74, 0.75]",Liberty Mutual
221,Model 3,Multi-Class,3,10/16/2022,3221,"[0.8, 0.77, 0.8]",Liberty Mutual
222,Model 3,Multi-Class,3,10/17/2022,2804,"[0.81, 0.72, 0.81]",Liberty Mutual
223,Model 3,Multi-Class,3,10/18/2022,2701,"[0.73, 0.92, 0.78]",Liberty Mutual
224,Model 3,Multi-Class,3,10/19/2022,1367,"[0.88, 0.8, 0.71]",Liberty Mutual
225,Model 3,Multi-Class,3,10/20/2022,2182,"[0.95, 0.79, 0.72]",Liberty Mutual
226,Model 3,Multi-Class,3,10/21/2022,3226,"[0.93, 0.83, 0.8]",Liberty Mutual
227,Model 3,Multi-Class,3,10/22/2022,3293,"[0.74, 0.81, 0.73]",Liberty Mutual
228,Model 3,Multi-Class,3,10/23/2022,4445,"[0.85, 0.73, 0.92]",Liberty Mutual
229,Model 3,Multi-Class,3,10/24/2022,4664,"[0.78, 0.76, 0.84]",Liberty Mutual
230,Model 3,Multi-Class,3,10/25/2022,3245,"[0.8, 0.89, 0.9]",Liberty Mutual
231,Model 3,Multi-Class,3,10/26/2022,2249,"[0.7, 0.92, 0.82]",Liberty Mutual
232,Model 3,Multi-Class,3,10/27/2022,2456,"[0.87, 0.72, 0.77]",Liberty Mutual
233,Model 3,Multi-Class,3,10/28/2022,1920,"[0.94, 0.87, 0.85]",Liberty Mutual
234,Model 3,Multi-Class,3,10/29/2022,3756,"[0.95, 0.8, 0.8]",Liberty Mutual
235,Model 3,Multi-Class,3,10/30/2022,2124,"[0.79, 0.92, 0.75]",Liberty Mutual
236,Model 3,Multi-Class,3,10/31/2022,2009,"[0.89, 0.75, 0.76]",Liberty Mutual
237,Model 3,Multi-Class,3,11/1/2022,2565,"[0.85, 0.71, 0.77]",Liberty Mutual
238,Model 3,Multi-Class,3,11/2/2022,3253,"[0.7, 0.79, 0.82]",Liberty Mutual
239,Model 3,Multi-Class,3,11/3/2022,3008,"[0.8, 0.8, 0.73]",Liberty Mutual
240,Model 3,Multi-Class,3,11/4/2022,1730,"[0.77, 0.75, 0.84]",Liberty Mutual
241,Model 3,Multi-Class,3,11/5/2022,4479,"[0.92, 0.77, 0.88]",Liberty Mutual
242,Model 3,Multi-Class,3,11/6/2022,4293,"[0.82, 0.9, 0.88]",Liberty Mutual
243,Model 3,Multi-Class,3,11/7/2022,1892,"[0.86, 0.87, 0.8]",Liberty Mutual
244,Model 3,Multi-Class,3,11/8/2022,2889,"[0.85, 0.73, 0.72]",Liberty Mutual
245,Model 3,Multi-Class,3,11/9/2022,2802,"[0.94, 0.93, 0.78]",Liberty Mutual
246,Model 3,Multi-Class,3,11/10/2022,1264,"[0.86, 0.71, 0.75]",Liberty Mutual
247,Model 3,Multi-Class,3,11/11/2022,4720,"[0.84, 0.76, 0.77]",Liberty Mutual
248,Model 3,Multi-Class,3,11/12/2022,3756,"[0.82, 0.9, 0.83]",Liberty Mutual
249,Model 3,Multi-Class,3,11/13/2022,4480,"[0.75, 0.94, 0.74]",Liberty Mutual
250,Model 3,Multi-Class,3,11/14/2022,4756,"[0.8, 0.8, 0.77]",Liberty Mutual
251,Model 3,Multi-Class,3,11/15/2022,4188,"[0.86, 0.75, 0.88]",Liberty Mutual
252,Model 3,Multi-Class,3,11/16/2022,2582,"[0.85, 0.8, 0.92]",Liberty Mutual
253,Model 3,Multi-Class,3,11/17/2022,3720,"[0.89, 0.84, 0.88]",Liberty Mutual
254,Model 3,Multi-Class,3,11/18/2022,2936,"[0.89, 0.75, 0.93]",Liberty Mutual
255,Model 3,Multi-Class,3,11/19/2022,2751,"[0.74, 0.83, 0.71]",Liberty Mutual
256,Model 3,Multi-Class,3,11/20/2022,3072,"[0.85, 0.71, 0.74]",Liberty Mutual
257,Model 3,Multi-Class,3,11/21/2022,3020,"[0.94, 0.89, 0.89]",Liberty Mutual
258,Model 3,Multi-Class,3,11/22/2022,3872,"[0.87, 0.73, 0.87]",Liberty Mutual
259,Model 3,Multi-Class,3,11/23/2022,2200,"[0.71, 0.71, 0.77]",Liberty Mutual
260,Model 3,Multi-Class,3,11/24/2022,1824,"[0.84, 0.83, 0.87]",Liberty Mutual
261,Model 3,Multi-Class,3,11/25/2022,2417,"[0.78, 0.84, 0.73]",Liberty Mutual
262,Model 3,Multi-Class,3,11/26/2022,3915,"[0.83, 0.85, 0.91]",Liberty Mutual
263,Model 3,Multi-Class,3,11/27/2022,1916,"[0.91, 0.82, 0.94]",Liberty Mutual
264,Model 3,Multi-Class,3,11/28/2022,1843,"[0.87, 0.79, 0.71]",Liberty Mutual
265,Model 3,Multi-Class,3,11/29/2022,1202,"[0.78, 0.94, 0.89]",Liberty Mutual
266,Model 3,Multi-Class,3,11/30/2022,3294,"[0.81, 0.9, 0.89]",Liberty Mutual
267,Model 3,Multi-Class,3,12/1/2022,2875,"[0.92, 0.74, 0.73]",Liberty Mutual
268,Model 3,Multi-Class,3,12/2/2022,2850,"[0.83, 0.76, 0.91]",Liberty Mutual
269,Model 3,Multi-Class,3,12/3/2022,3369,"[0.81, 0.85, 0.83]",Liberty Mutual
270,Model 3,Multi-Class,3,12/4/2022,1984,"[0.86, 0.95, 0.82]",Liberty Mutual
271,Model 3,Multi-Class,3,12/5/2022,2981,"[0.92, 0.74, 0.79]",Liberty Mutual
272,Model 3,Multi-Class,3,12/6/2022,3260,"[0.79, 0.92, 0.83]",Liberty Mutual
273,Model 3,Multi-Class,3,12/7/2022,2787,"[0.91, 0.84, 0.84]",Liberty Mutual
274,Model 3,Multi-Class,3,12/8/2022,1946,"[0.74, 0.87, 0.72]",Liberty Mutual
275,Model 3,Multi-Class,3,12/9/2022,1423,"[0.76, 0.8, 0.7]",Liberty Mutual
276,Model 3,Multi-Class,3,12/10/2022,2931,"[0.72, 0.81, 0.77]",Liberty Mutual
277,Model 3,Multi-Class,3,12/11/2022,2829,"[0.81, 0.78, 0.8]",Liberty Mutual
278,Model 3,Multi-Class,3,12/12/2022,3648,"[0.73, 0.89, 0.95]",Liberty Mutual
279,Model 3,Multi-Class,3,12/13/2022,4390,"[0.78, 0.91, 0.92]",Liberty Mutual
280,Model 3,Multi-Class,3,12/14/2022,1760,"[0.74, 0.8, 0.76]",Liberty Mutual
281,Model 3,Multi-Class,3,12/15/2022,1511,"[0.9, 0.81, 0.95]",Liberty Mutual
282,Model 3,Multi-Class,3,12/16/2022,3726,"[0.86, 0.94, 0.94]",Liberty Mutual
283,Model 3,Multi-Class,3,12/17/2022,3558,"[0.7, 0.78, 0.93]",Liberty Mutual
284,Model 3,Multi-Class,3,12/18/2022,1758,"[0.79, 0.87, 0.71]",Liberty Mutual
